Level	Rule Name	Subject	Property	Value
WARN	missing_definition	FBcv:0000347	IAO:0000115		
WARN	missing_definition	FBcv:0006003	IAO:0000115		
WARN	missing_definition	FBcv:0006007	IAO:0000115		
WARN	missing_definition	FBcv:0008000	IAO:0000115		
WARN	missing_definition	FBdv:00018001	IAO:0000115		
WARN	missing_definition	IAO:0000115	IAO:0000115		
WARN	missing_definition	http://purl.obolibrary.org/obo/dpo.obo#has_role	IAO:0000115		
WARN	missing_definition	oboInOwl:SubsetProperty	IAO:0000115		
WARN	missing_definition	oboInOwl:consider	IAO:0000115		
WARN	missing_definition	oboInOwl:hasBroadSynonym	IAO:0000115		
WARN	missing_definition	oboInOwl:hasDbXref	IAO:0000115		
WARN	missing_definition	oboInOwl:hasExactSynonym	IAO:0000115		
WARN	missing_definition	oboInOwl:hasNarrowSynonym	IAO:0000115		
WARN	missing_definition	oboInOwl:hasOBOFormatVersion	IAO:0000115		
WARN	missing_definition	oboInOwl:hasOBONamespace	IAO:0000115		
WARN	missing_definition	oboInOwl:hasRelatedSynonym	IAO:0000115		
WARN	missing_definition	oboInOwl:inSubset	IAO:0000115		
WARN	missing_definition	oboInOwl:shorthand	IAO:0000115		
WARN	missing_ontology_description	dpo.obo.owl	dc11:description		
WARN	missing_ontology_license	dpo.obo.owl	dc:license		
WARN	missing_ontology_title	dpo.obo.owl	dc11:title		
WARN	duplicate_scoped_synonym	BFO:0000050	IAO:0000118	part_of	
WARN	duplicate_scoped_synonym	BFO:0000050	oboInOwl:hasExactSynonym	part_of	
WARN	missing_obsolete_label	FBcv:0000437	rdfs:label	dosage compensation defective	
WARN	missing_superclass	FBcv:0000347	rdfs:subClassOf		
WARN	missing_superclass	FBcv:0006003	rdfs:subClassOf		
WARN	missing_superclass	FBcv:0006007	rdfs:subClassOf		
INFO	lowercase_definition	BFO:0000050	IAO:0000115	a core relation that holds between a part and its whole	
INFO	lowercase_definition	BFO:0000063	IAO:0000115	x precedes y if and only if the time point at which x ends is before or equivalent to the time point at which y starts. Formally: x precedes y iff ω(x) <= α(y), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.	
INFO	lowercase_definition	RO:0002314	IAO:0000115	q inheres in part of w if and only if there exists some p such that q inheres in p and p part of w.	
INFO	lowercase_definition	RO:0002351	IAO:0000115	has member is a mereological relation between a collection and an item.	
INFO	lowercase_definition	RO:0002503	IAO:0000115	q towards e2 if and only if q is a relational quality such that q inheres-in some e, and e != e2 and q is dependent on e2	
